country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,date,year,month,day,hour,day_name,pollutant_range,pollution_category
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",,28.73282,77.170633,NO2,36.0,116.0,78.0,,,,,,,80.0,Unknown
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",,28.73282,77.170633,OZONE,3.0,66.0,60.0,,,,,,,63.0,Unknown
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",,28.58028,77.233829,PM2.5,38.0,312.0,103.0,,,,,,,274.0,Poor
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,28.5918245,77.2273074,PM2.5,47.0,255.0,87.0,,,,,,,208.0,Moderate
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",,22.12665,83.483212,PM2.5,39.0,58.0,48.0,,,,,,,19.0,Satisfactory
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",,21.258815,81.578979,PM2.5,20.0,42.0,31.0,,,,,,,22.0,Satisfactory
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",,21.258815,81.578979,CO,25.0,42.0,34.0,,,,,,,17.0,Unknown
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",,21.219665,81.630094,NO2,25.0,35.0,30.0,,,,,,,10.0,Unknown
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",,21.219665,81.630094,CO,21.0,56.0,29.0,,,,,,,35.0,Unknown
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",,21.219665,81.630094,OZONE,1.0,6.0,3.0,,,,,,,5.0,Unknown
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",,21.237755,81.705301,NO2,,,,,,,,,,,Unknown
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",,21.237755,81.705301,SO2,,,,,,,,,,,Unknown
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,28.7256504,77.2011573,PM2.5,7.0,304.0,103.0,,,,,,,297.0,Poor
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,28.7256504,77.2011573,PM10,119.0,291.0,174.0,,,,,,,172.0,Moderate
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,28.5512005,77.2735737,OZONE,18.0,76.0,56.0,,,,,,,58.0,Unknown
