country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",21-04-2026 17:00,28.636429,77.201067,NO2,31,81,54
India,Delhi,Delhi,"Mundka, Delhi - DPCC",21-04-2026 17:00,28.684678,77.076574,OZONE,22,88,78
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",21-04-2026 17:00,28.60909,77.0325413,PM2.5,67,167,108
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",21-04-2026 17:00,28.594004,76.909423,SO2,33,76,49
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",21-04-2026 17:00,28.594004,76.909423,CO,39,71,46
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",21-04-2026 17:00,22.320153,73.216285,CO,74,103,81
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",21-04-2026 17:00,20.362421,72.918013,PM10,79,119,92
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",21-04-2026 17:00,20.362421,72.918013,SO2,18,23,21
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",21-04-2026 17:00,22.969611,72.6435,PM2.5,40,254,108
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",21-04-2026 17:00,22.969611,72.6435,NO2,36,76,62
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",21-04-2026 17:00,30.379589,76.778328,NH3,7,8,8
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",21-04-2026 17:00,30.379589,76.778328,CO,21,48,30
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",21-04-2026 17:00,23.041137,72.456691,OZONE,8,79,63
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21-04-2026 17:00,21.613267,73.010555,NH3,5,6,6
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21-04-2026 17:00,21.613267,73.010555,SO2,23,31,26
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21-04-2026 17:00,21.613267,73.010555,OZONE,8,35,33
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21-04-2026 17:00,21.755417,72.139056,NO2,61,83,71
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21-04-2026 17:00,21.755417,72.139056,SO2,5,8,7
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",21-04-2026 17:00,23.163798,72.677768,CO,7,57,23
India,Delhi,Delhi,"Narela, Delhi - DPCC",21-04-2026 17:00,28.822836,77.101981,PM2.5,40,337,138
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",21-04-2026 17:00,28.56789,77.250515,NH3,7,12,10
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-04-2026 17:00,28.530785,77.271255,PM2.5,27,260,96
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",21-04-2026 17:00,28.530785,77.271255,NO2,44,151,102
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",21-04-2026 17:00,28.623763,77.287209,NH3,6,11,8
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",21-04-2026 17:00,28.674045,77.131023,PM10,108,391,179
India,Delhi,Delhi,"Pusa, Delhi - IMD",21-04-2026 17:00,28.63611,77.173332,PM10,72,283,144
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",21-04-2026 17:00,28.563262,77.186937,NO2,6,120,65
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",21-04-2026 17:00,28.6701,76.9254,PM10,118,160,129
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",21-04-2026 17:00,28.6701,76.9254,NO2,12,14,13
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",21-04-2026 17:00,28.6701,76.9254,OZONE,21,29,25
India,Haryana,Jind,"Police Lines, Jind - HSPCB",21-04-2026 17:00,29.307814,76.337619,NO2,29,44,38
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",21-04-2026 17:00,29.8006,76.4155,PM2.5,65,120,93
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",21-04-2026 17:00,29.8006,76.4155,NH3,2,6,6
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",21-04-2026 17:00,29.8006,76.4155,CO,9,72,24
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",21-04-2026 17:00,29.8006,76.4155,OZONE,8,20,17
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",21-04-2026 17:00,29.966942,76.875879,NO2,4,4,4
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",21-04-2026 17:00,29.966942,76.875879,NH3,6,7,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",21-04-2026 17:00,29.966942,76.875879,CO,5,33,21
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",21-04-2026 17:00,27.9002,76.9938,PM10,37,81,55
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",21-04-2026 17:00,27.9002,76.9938,NO2,20,23,22
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",21-04-2026 17:00,27.9002,76.9938,NH3,9,10,10
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",21-04-2026 17:00,28.360699,76.93609,NH3,7,17,13
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",21-04-2026 17:00,28.376058,77.315741,OZONE,14,16,15
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",21-04-2026 17:00,28.4417,77.3217,NH3,10,12,11
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",21-04-2026 17:00,28.4417,77.3217,CO,60,66,63
